tmdb_id,title,type,release_date,genres,tmdb_rating,my_rating,my_rating_label,date_rated,overview,poster_url
24,Kill Bill: Vol. 1,movie,2003-10-10,"Action, Crime",7.971,2,🤷 OK,2025-06-19 23:33:48.015415,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg
63,Twelve Monkeys,movie,1995-12-29,"Science Fiction, Thriller, Mystery",7.602,-1,❌ Don't Want to See,2025-06-19 23:34:15.956500,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
754,Face/Off,movie,1997-06-27,"Action, Crime, Science Fiction",7.044,2,🤷 OK,2025-06-19 23:34:22.040890,"In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind. The plan turns sour when the criminal wakes up prematurely and seeks revenge.",https://image.tmdb.org/t/p/w500/69Xzn8UdPbVnmqSChKz2RTpoNfB.jpg
155,The Dark Knight,movie,2008-07-16,"Drama, Action, Crime, Thriller",8.52,2,🤷 OK,2025-06-19 23:34:28.189215,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
1721,All the Way Boys,movie,1972-12-22,"Adventure, Action, Comedy",6.751,-1,❌ Don't Want to See,2025-06-19 23:34:37.932809,"The ""Trinity"" crew makes another modern era film. Plata and Salud are pilots ditching aircraft for insurance money. They wind up crashing for real in the jungles of South America. The plot involves ""Mr. Big"", who is buying the diamonds from the miners for much too little, and has thugs who keep the price down. Of course, Plata and Salud side with the miners",https://image.tmdb.org/t/p/w500/cWhBysh8ejHqKBcv5cGaA5FCCcq.jpg
9802,The Rock,movie,1996-06-07,"Action, Adventure, Thriller",7.134,-1,❌ Don't Want to See,2025-06-19 23:34:54.279372,"When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.",https://image.tmdb.org/t/p/w500/j5mxLNWjUlXUUk8weFBtnF4afIR.jpg
432684,Grand Canary,movie,1934-07-20,Drama,4.1,-1,❌ Don't Want to See,2025-06-19 23:35:04.126603,"Based on an AJ Cronin novel, a disgraced doctor exiled to the Canary Islands, meets and falls in love with a married woman.",https://image.tmdb.org/t/p/w500/7JAzjYApeu2wWaLUtvDz6KpmA0l.jpg
286217,The Martian,movie,2015-09-30,"Drama, Adventure, Science Fiction",7.689,4,🌟 Perfect,2025-06-19 23:35:10.263392,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",https://image.tmdb.org/t/p/w500/3ndAx3weG6KDkJIRMCi5vXX6Dyb.jpg
62,2001: A Space Odyssey,movie,1968-04-02,"Science Fiction, Mystery, Adventure",8.066,0,👀 Want to See,2025-06-19 23:35:16.154046,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
789309,Zelené obzory,movie,1962-09-07,Drama,6.0,-1,❌ Don't Want to See,2025-06-19 23:35:22.351082,A young agricultural expert fails as the manager of a cattle farm on a state farm in the borderlands... The attempt at a realistic view of the problems of nationalised agriculture did not exceed the average of the time.,https://image.tmdb.org/t/p/w500/jGJWMxbI9A6S1WAkUp5pOgSDY20.jpg
106646,The Wolf of Wall Street,movie,2013-12-25,"Crime, Drama, Comedy",8.029,4,🌟 Perfect,2025-06-19 23:35:27.279014,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",https://image.tmdb.org/t/p/w500/kW9LmvYHAaS9iA0tHmZVq8hQYoq.jpg
28,Apocalypse Now,movie,1979-05-19,"Drama, War",8.272,2,🤷 OK,2025-06-19 23:35:33.379526,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",https://image.tmdb.org/t/p/w500/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
281957,The Revenant,movie,2015-12-25,"Western, Drama, Adventure",7.534,3,👍 Good,2025-06-19 23:35:41.394126,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",https://image.tmdb.org/t/p/w500/ji3ecJphATlVgWNY0B0RVXZizdf.jpg
1700,Misery,movie,1990-11-30,"Drama, Thriller",7.7,-1,❌ Don't Want to See,2025-06-19 23:35:50.442816,"After an accident, acclaimed novelist Paul Sheldon is rescued by a nurse who claims to be his biggest fan.  Her obsession takes a dark turn when she holds him captive in her remote Colorado home and forces him to write back to life the popular literary character he killed off.",https://image.tmdb.org/t/p/w500/23Y65uWaVMpqfbZTN3CT0aei4D5.jpg
1422,The Departed,movie,2006-10-04,"Drama, Thriller, Crime",8.159,0,👀 Want to See,2025-06-19 23:36:00.281722,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg
206647,Spectre,movie,2015-10-26,"Action, Adventure, Thriller",6.558,3,👍 Good,2025-06-19 23:36:31.805454,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",https://image.tmdb.org/t/p/w500/zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg
257445,Goosebumps,movie,2015-08-05,"Adventure, Horror, Comedy",6.308,-1,❌ Don't Want to See,2025-06-19 23:36:37.621906,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",https://image.tmdb.org/t/p/w500/aeZT9pqEgrmXOGdESFkAuVjX6kw.jpg
64682,The Great Gatsby,movie,2013-05-09,"Drama, Romance",7.363,2,🤷 OK,2025-06-19 23:36:41.444473,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",https://image.tmdb.org/t/p/w500/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg
273248,The Hateful Eight,movie,2015-12-25,"Drama, Mystery, Western",7.755,3,👍 Good,2025-06-19 23:36:46.699887,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,https://image.tmdb.org/t/p/w500/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg
206647,Spectre,movie,2015-10-26,"Action, Adventure, Thriller",6.558,-1,❌ Don't Want to See,2025-06-19 23:37:52.439022,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",https://image.tmdb.org/t/p/w500/zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg
20,My Life Without Me,movie,2003-03-07,"Drama, Romance",6.053,-1,❌ Don't Want to See,2025-06-19 23:37:59.764314,A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,https://image.tmdb.org/t/p/w500/pFEtVPW88pWflYV84UFL0h1iJr3.jpg
318846,The Big Short,movie,2015-12-11,"Comedy, Drama",7.356,4,🌟 Perfect,2025-06-19 23:38:01.453630,The men who made millions from a global economic meltdown.,https://image.tmdb.org/t/p/w500/scVEaJEwP8zUix8vgmMoJJ9Nq0w.jpg
318846,The Big Short,movie,2015-12-11,"Comedy, Drama",7.356,0,👀 Want to See,2025-06-19 23:38:07.185385,The men who made millions from a global economic meltdown.,https://image.tmdb.org/t/p/w500/scVEaJEwP8zUix8vgmMoJJ9Nq0w.jpg
78,Blade Runner,movie,1982-06-25,"Science Fiction, Drama, Thriller",7.94,-1,❌ Don't Want to See,2025-06-19 23:38:12.487550,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",https://image.tmdb.org/t/p/w500/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg
370172,No Time to Die,movie,2021-09-29,"Action, Thriller, Adventure",7.364,-1,❌ Don't Want to See,2025-06-19 23:38:20.936343,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",https://image.tmdb.org/t/p/w500/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg
64682,The Great Gatsby,movie,2013-05-09,"Drama, Romance",7.363,3,👍 Good,2025-06-19 23:38:21.529559,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",https://image.tmdb.org/t/p/w500/nimh1rrDDLhgpG8XAYoUZXHYwb6.jpg
71,Billy Elliot,movie,2000-09-28,"Drama, Comedy, Music",7.593,4,🌟 Perfect,2025-06-19 23:38:28.326155,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",https://image.tmdb.org/t/p/w500/nOr5diUZxphmAD3li9aiILyI28F.jpg
978415,Horseplay,movie,2023-06-01,"Comedy, Drama",7.8,-1,❌ Don't Want to See,2025-06-19 23:38:42.275862,"In the heat of the summer, Andy leaves the city in order to spend some time at a luxury villa with his best friends. As they party and goof around, their initial consensual horseplay reveals that they each have different personal boundaries.",https://image.tmdb.org/t/p/w500/2PfLCKM4YuaWOfbgn5VGihBF5ls.jpg
1787,Les Biches,movie,1968-03-22,"Drama, Romance",6.0,-1,❌ Don't Want to See,2025-06-19 23:38:50.236524,"A bored bisexual millionaire picks up a young destitute street artist and whisks her away to her villa in Saint Tropez. They meet a dashing local architect and both fall for him, setting in motion a ménage à trois of deception and betrayal.",https://image.tmdb.org/t/p/w500/aso44GAzBFgw7q4FtbHVHbvJxos.jpg
298931,Billy Elliot: The Musical Live,movie,2014-09-28,"Music, Drama, History",8.1,3,👍 Good,2025-06-19 23:38:54.307342,"In County Durham, England, 1984, a talented young dancer, Billy Elliot, stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family’s set ways, inner conflict, and standing on his toes in a musical that questions masculinity, gender norms and conformity.",https://image.tmdb.org/t/p/w500/cVe13jzHzWNOpv02xdDuozbIJBm.jpg
527511,Bhavesh Joshi Superhero,movie,2018-06-01,"Action, Drama",7.4,-1,❌ Don't Want to See,2025-06-19 23:39:03.162316,"A young man who stands for the right discovers that he's destined to do bigger things, which will transform him from a common man into a Superhero.",https://image.tmdb.org/t/p/w500/x2dzIELXWls5Aqutha502ZyF8WN.jpg
417419,SoulMate,movie,2016-09-23,"Romance, Drama",7.2,-1,❌ Don't Want to See,2025-06-19 23:39:07.638508,The films spans two decades as the story unfolds in a series of flashbacks that begin when Qiyue and Ansheng were just thirteen. The two became inseparable until they met a boy who ended up tearing their lives apart.,https://image.tmdb.org/t/p/w500/gVgKn7hV6nMNyE6WjFz1QTnLhtS.jpg
